"id"|"name"|"sex"|"vocative"
"1"|"unknown"|"unknown"|"unknown"
"2"|"Ada"|"f"|"Ado"
"3"|"Adela"|"f"|"Adelu"
"4"|"Adelajda"|"f"|"Adelajdo"
"5"|"Adriana"|"f"|"Adriano"
"6"|"Adrianna"|"f"|"Adrianno"
"7"|"Agata"|"f"|"Agato"
"8"|"Agnieszka"|"f"|"Agnieszko"
"9"|"Alberta"|"f"|"Alberto"
"10"|"Aldona"|"f"|"Aldono"
"11"|"Aleksandra"|"f"|"Aleksandro"
"12"|"Aleksja"|"f"|"Aleksjo"
"13"|"Alfreda"|"f"|"Alfredo"
"14"|"Alicja"|"f"|"Alicjo"
"15"|"Alina"|"f"|"Alino"
"16"|"Amalia"|"f"|"Amalio"
"17"|"Amanda"|"f"|"Amando"
"18"|"Amelia"|"f"|"Amelio"
"19"|"Anastazja"|"f"|"Anastazjo"
"20"|"Andrea"|"f"|"Andreo"
"21"|"Andrzeja"|"f"|"Andrzejo"
"22"|"Aneta"|"f"|"Aneto"
"23"|"Angelika"|"f"|"Angeliko"
"24"|"Aniela"|"f"|"Anielo"
"25"|"Anita"|"f"|"Anito"
"26"|"Anna"|"f"|"Anno"
"27"|"Antonina"|"f"|"Antonino"
"28"|"Apolonia"|"f"|"Apolonio"
"29"|"Ariadna"|"f"|"Ariadno"
"30"|"Arleta"|"f"|"Arleto"
"31"|"Atena"|"f"|"Ateno"
"32"|"Augustyna"|"f"|"Augustyno"
"33"|"Aurelia"|"f"|"Aurelio"
"34"|"Balbina"|"f"|"Balbino"
"35"|"Barbara"|"f"|"Barbaro"
"36"|"Beata"|"f"|"Beato"
"37"|"Beatrycze"|"f"|"Beatrycze"
"38"|"Benigna"|"f"|"Benigno"
"39"|"Berenika"|"f"|"Bereniko"
"40"|"Bernadeta"|"f"|"Bernadeto"
"41"|"Bianka"|"f"|"Bianko"
"42"|"Bibiana"|"f"|"Bibiano"
"43"|"Blanka"|"f"|"Blanko"
"44"|"Boguchwała"|"f"|"Boguchwało"
"45"|"Bogumiła"|"f"|"Bogumiło"
"46"|"Bona"|"f"|"Bono"
"47"|"Bożena"|"f"|"Bożeno"
"48"|"Bronisława"|"f"|"Bronisławo"
"49"|"Brygida"|"f"|"Brygido"
"50"|"Cecylia"|"f"|"Cecylio"
"51"|"Celina"|"f"|"Celino"
"52"|"Cezaria"|"f"|"Cezario"
"53"|"Ciechosława"|"f"|"Ciechosławo"
"54"|"Czesława"|"f"|"Czesławo"
"55"|"Dagmara"|"f"|"Dagmaro"
"56"|"Damroka"|"f"|"Damroko"
"57"|"Dana"|"f"|"Dano"
"58"|"Daniela"|"f"|"Danielo"
"59"|"Danisława"|"f"|"Danisławo"
"60"|"Danuta"|"f"|"Danuto"
"61"|"Daria"|"f"|"Dario"
"62"|"Dąbrówka"|"f"|"Dąbrówko"
"63"|"Delfina"|"f"|"Delfino"
"64"|"Diana"|"f"|"Diano"
"65"|"Dominika"|"f"|"Dominiko"
"66"|"Dorota"|"f"|"Doroto"
"67"|"Dżamila"|"f"|"Dżamilo"
"68"|"Dżesika"|"f"|"Dżesiko"
"69"|"Edyta"|"f"|"Edyto"
"70"|"Eleonora"|"f"|"Eleonoro"
"71"|"Elwira"|"f"|"Elwiro"
"72"|"Elżbieta"|"f"|"Elżbieto"
"73"|"Emilia"|"f"|"Emilio"
"74"|"Emma"|"f"|"Emmo"
"75"|"Ernestyna"|"f"|"Ernestyno"
"76"|"Eryka"|"f"|"Eryko"
"77"|"Estera"|"f"|"Estero"
"78"|"Eugenia"|"f"|"Eugenio"
"79"|"Eunika"|"f"|"Euniko"
"80"|"Ewa"|"f"|"Ewo"
"81"|"Ewarysta"|"f"|"Ewarysto"
"82"|"Ewelina"|"f"|"Ewelino"
